Square_Meter,Age_of_house,Total_rooms,Total_Bath,Floor,City,Price
75,1,1,1,1,Helwan,1674939.9
100,4,2,1,3,El_Zamalek,3579991.5
125,3,3,2,4,Helwan,2504969.8
115,2,3,1,9,Shobra,2435038.5
79,5,1,1,5,El_Maadi,1984928.5
130,2,3,2,4,El_Maadi,2830038
122,2,3,2,2,Helwan,2459929.8
90,4,1,1,1,El_Zamalek,3399983.3
130,4,3,2,7,Helwan,2579928.9
89,1,1,1,8,Shobra,1985380.6
128,2,3,2,2,El_Maadi,2799968.8
110,4,2,1,4,El_Zamalek,3729927.6
120,3,3,2,3,Helwan,2429937.7
85,3,1,1,9,El_Zamalek,3925092.3
142,1,3,2,2,Helwan,2760093
107,1,2,1,5,El_Zamalek,3685029.3
139,2,3,2,4,El_Maadi,2965050
84,5,1,1,6,El_Maadi,2059929.6
140,2,3,2,3,El_Maadi,2979999.9
105,3,2,1,1,Shobra,2254928.5
130,4,3,2,9,El_Zamalek,4080040.1
87,1,1,1,3,Helwan,1855000.1
99,1,2,1,4,Helwan,2065000.2
137,3,3,2,8,El_Zamalek,4185000.2
81,4,1,1,9,El_Zamalek,3265000.1
147,2,3,2,3,Shobra,2934999.9
76,2,1,1,1,Helwan,1689938.7
95,1,2,1,2,El_Zamalek,4255000
90,3,1,1,5,El_Maadi,2149999.9
102,4,2,1,4,Shobra,2209999.6
150,1,3,2,1,Helwan,2879999.9
180,2,4,2,9,El_Zamalek,4860000.5
182,1,4,2,4,Shobra,3490060.2
151,2,3,2,5,El_Maadi,3145000.1
190,3,4,2,2,Shobra,3609939.6
200,3,5,2,3,El_Zamalek,5189938.7
210,4,5,2,8,Shobra,3940480
160,1,3,2,4,Helwan,3030040.2
205,2,5,2,7,Shobra,3865093.3
90,2,2,1,6,El_Maadi,2180060.2
152,3,3,2,5,Shobra,3009949.9
160,3,3,2,1,Helwan,3029993.5
210,1,5,2,3,Helwan,3840083.1
185,1,4,3,5,Helwan,3455039.3
170,1,3,2,4,El_Zamalek,4680048.2
200,4,5,3,7,Shobra,3809938.9
169,3,3,2,8,Helwan,3165050.2
195,1,4,2,6,El_Maadi,3835092.4
165,2,3,2,9,El_Maadi,3355000.5
170,3,4,2,5,El_Maadi,3459938.9
190,4,4,3,1,Shobra,3629999.3
220,2,5,3,2,Helwan,4009903.8
175,2,3,2,3,El_Zamalek,4754998.9
230,1,5,2,4,El_Maadi,4390027.2
150,5,3,2,8,Shobra,2979948.8
250,1,5,3,6,Helwan,4460028.4
195,3,3,2,9,El_Zamalek,5055058.3
191,5,4,2,7,Shobra,3624928.7
210,2,5,3,4,El_Maadi,4110090
161,2,3,2,2,Helwan,3044968.8
190,2,3,2,6,Helwan,3480038.2
200,1,4,3,1,Shobra,3779973.9
